image_file,image_path,resized_height,resized_width,cutoff,invert,n_intervals_total,n_intervals_finite,n_intervals_infinite,median_persistence,mean_persistence,std_persistence,min_persistence,q25_persistence,q75_persistence,max_persistence,median_birth,median_death,mean_birth,mean_death
01.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/01.jpeg,256,256,0.3,true,68,67,1,0.3563725490196078,0.3622036874451273,0.04353755904782618,0.30343137254901964,0.3276960784313725,0.38235294117647056,0.5196078431372548,0.26813725490196083,0.621078431372549,0.2625109745390694,0.6247146619841967
02.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/02.jpeg,256,256,0.3,true,41,40,1,0.42107843137254897,0.42824754901960793,0.07012234662710407,0.3127450980392157,0.36740196078431364,0.4759803921568627,0.6181372549019608,0.22990196078431369,0.6617647058823529,0.22867647058823523,0.6569240196078432
03.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/03.jpeg,256,256,0.3,true,21,20,1,0.38431372549019605,0.4000490196078431,0.0803241133610305,0.3009803921568628,0.3245098039215687,0.4509803921568628,0.5411764705882353,0.2906862745098039,0.7240196078431372,0.3125980392156863,0.7126470588235294
04.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/04.jpeg,256,256,0.3,true,8,7,1,0.3779411764705882,0.3735994397759103,0.05283630847936774,0.30294117647058816,0.3262254901960784,0.41568627450980394,0.45049019607843144,0.4480392156862745,0.8495098039215686,0.46036414565826317,0.8339635854341737
05.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/05.jpeg,256,256,0.3,true,125,124,1,0.6061274509803922,0.5538978494623656,0.18885854636307522,0.30049019607843136,0.34975490196078424,0.7312500000000001,0.8534313725490196,0.07696078431372547,0.682843137254902,0.08872549019607845,0.6426233396584441
