image_file,image_path,resized_height,resized_width,cutoff,invert,n_intervals_total,n_intervals_finite,n_intervals_infinite,median_persistence,mean_persistence,std_persistence,min_persistence,q25_persistence,q75_persistence,max_persistence,median_birth,median_death,mean_birth,mean_death
01.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/01.jpeg,256,256,0.1,false,79,79,0,0.3112745098039215,0.268391660461653,0.10682456494127714,0.10049019607843124,0.1316176470588235,0.3458333333333334,0.46274509803921565,0.4156862745098039,0.7299019607843138,0.4676966989327379,0.7360883593943908
02.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/02.jpeg,256,256,0.1,false,148,148,0,0.13063725490196076,0.17343998410174882,0.10059141626866248,0.10049019607843135,0.11519607843137258,0.16642156862745094,0.5063725490196078,0.5946078431372549,0.7325980392156862,0.5635996290408055,0.7370396131425543
03.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/03.jpeg,256,256,0.1,false,54,54,0,0.12965686274509802,0.1691176470588235,0.08976796626198756,0.10049019607843135,0.11531862745098032,0.2063725490196079,0.5411764705882354,0.5686274509803921,0.7181372549019608,0.545415758896151,0.7145334059549745
04.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/04.jpeg,256,256,0.1,false,11,11,0,0.13333333333333336,0.15057932263814616,0.0543178672163821,0.10343137254901963,0.11249999999999993,0.16887254901960785,0.2892156862745097,0.4107843137254902,0.5519607843137255,0.4009803921568627,0.5515597147950089
05.jpeg,/home/vituri/Documents/Github/tda-guacamole/images/05.jpeg,256,256,0.1,false,995,995,0,0.14215686274509787,0.1756113902847571,0.1182244236361148,0.10000000000000009,0.11813725490196081,0.17941176470588238,0.8328431372549018,0.7102941176470587,0.8725490196078431,0.6879894570893684,0.8636008473741255
